Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Geographical_Distribution,Schedule_Pressure,Budget_Utilization_Rate,Market_Volatility,Integration_Complexity,Resource_Availability,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Project_ID,Project_Type,Methodology_Used,Team_Experience_Level,Project_Phase,Requirement_Stability,Regulatory_Compliance_Level,Technology_Familiarity,Stakeholder_Engagement_Level,Executive_Sponsorship,Funding_Source,Priority_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Risk_Level
5.0,783474.83,11.0,5.17,8.0,2.0,4.0,2.87,0.37,0.9,3.0,6.85,1.0,0.15,0.98,0.74,5.68,0.6,1.01,2.0,0.53,0.4,11.0,4.0,1.0,PROJ_0018,IT,Agile,Mixed,Planning,Moderate,High,Familiar,Low,Moderate,Internal,Critical,Mid-level PM,Ad-hoc,Strict,Moderate,Modern/Stable,Cost-Plus,Medium,Moderate,Strategic,Basic,0,Hybrid,Good,High
8.0,600816.42,12.0,6.14,9.0,0.0,3.0,1.07,0.15,0.71,2.0,8.715,2.0,0.2,0.96,1.0,9.08,0.62,1.4,6.0,0.6,0.48,8.0,5.0,1.0,PROJ_0019,IT,Scrum,Senior,Planning,Stable,High,Familiar,Excellent,Moderate,Internal,Low,Senior PM,Defined,High,Excellent,Modern/Stable,Time & Materials,High,Moderate,First-time,Basic,Advanced,Partially Colocated,Excellent,Low
9.0,986572.7,9.0,3.86,8.0,0.0,1.0,0.91,0.59,0.75,1.0,4.24,3.0,0.07,0.76,0.0,6.01,0.83,1.11,6.0,0.83,0.43,7.0,3.0,1.0,PROJ_0020,IT,Agile,Mixed,Closure,Moderate,Medium,Familiar,Medium,Strong,External,Critical,Mid-level PM,Managed,Strict,Good,Modern/Stable,Cost-Plus,Low,High,Strategic,Formal,Formal,Hybrid,Basic,Low
5.0,491308.77,8.0,2.32,4.0,1.0,1.0,4.4350000000000005,0.33,0.65,0.0,4.65,4.0,0.0,0.88,0.98,4.68,0.93,0.85,2.0,0.81,0.0,1.0,1.0,1.0,PROJ_0021,Manufacturing,Hybrid,Mixed,Closure,Moderate,High,Familiar,Medium,Moderate,External,High,Mid-level PM,Defined,High,Moderate,0,Fixed-Price,High,Stable,First-time,0,Formal,Fully Colocated,Basic,Medium
31.0,2334012.63,25.0,6.64,19.0,3.0,3.0,2.69,0.28,0.67,0.0,2.47,4.0,0.0,1.09,0.01,3.94,0.66,0.58,5.0,0.72,0.0,8.0,6.0,1.0,PROJ_0022,Construction,Hybrid,Senior,Initiation,Stable,Medium,Familiar,Excellent,Moderate,External,Low,Senior PM,Ad-hoc,Low,Limited,0,Time & Materials,Medium,Extreme,Regular,0,0,Fully Remote,Good,High
6.0,710067.31,10.0,5.45,8.0,6.0,2.0,0.43,0.27,0.83,0.0,2.58,5.0,0.2,1.19,0.74,7.91,0.65,1.27,7.0,0.73,0.6,7.0,3.0,1.0,PROJ_0023,IT,Scrum,Expert,Initiation,Moderate,Medium,Expert,Excellent,Moderate,External,Medium,Senior PM,Optimizing,High,Moderate,Modern/Stable,Fixed-Price,Medium,Stable,First-time,Formal,Advanced,Fully Colocated,Basic,Low
25.0,1242953.21,28.0,8.35,12.0,4.0,6.0,0.29,0.21,0.74,2.0,1.44,5.0,0.0,0.85,0.78,7.35,0.61,0.7,1.0,0.84,0.0,10.0,7.0,1.0,PROJ_0024,Marketing,Waterfall,Senior,Planning,Moderate,High,Familiar,High,Moderate,External,High,Senior PM,Defined,Medium,Moderate,0,Fixed-Price,High,High,Strategic,Basic,0,Partially Colocated,Good,High
10.0,1047552.12,17.0,6.72,12.0,0.0,3.0,1.92,0.49,0.7,3.0,4.57,5.0,0.0,1.0,0.16,6.44,0.52,1.06,7.0,0.72,0.0,10.0,6.0,1.0,PROJ_0025,R&D,Agile,Mixed,Planning,Moderate,Critical,Familiar,High,Moderate,Government,Low,Mid-level PM,Defined,Strict,Good,0,Fixed-Price,Medium,Moderate,First-time,0,0,Hybrid,Poor,Critical
30.0,2650876.115,30.0,10.0,20.0,0.0,4.0,0.35,0.36,0.29,2.0,3.88,4.0,0.0,1.27,0.38,2.77,0.64,0.9,3.0,0.68,0.0,3.0,12.0,1.0,PROJ_0026,R&D,Agile,Junior,Monitoring,Moderate,Low,New,Low,Moderate,External,High,Mid-level PM,Defined,High,Moderate,0,Time & Materials,High,Extreme,Strategic,Basic,Basic,Fully Colocated,Poor,Critical
11.0,1194428.17,19.0,6.48,8.0,0.0,3.0,1.18,0.57,0.91,2.0,1.44,2.0,0.0,0.93,0.18,3.81,0.46,0.73,1.0,0.94,0.27,8.0,8.0,1.0,PROJ_0027,IT,Kanban,Mixed,Planning,Stable,Critical,New,High,Moderate,External,High,Mid-level PM,Managed,High,Moderate,Mixed,Fixed-Price,High,High,Strategic,Basic,0,Partially Colocated,Good,Medium
21.0,1607502.4,24.0,9.33,17.0,1.0,3.0,0.38,0.09,0.77,0.0,1.72,4.0,0.0,0.84,0.8,9.34,0.46,1.01,5.0,0.83,0.0,2.0,7.0,1.0,PROJ_0028,R&D,Agile,Senior,Monitoring,Stable,Critical,New,Low,Moderate,Internal,Critical,Senior PM,Ad-hoc,High,Moderate,0,Time & Materials,Medium,High,Regular,Basic,0,Fully Remote,Good,Critical
6.0,893417.2,14.0,4.52,7.0,0.0,3.0,0.76,0.53,0.72,1.0,3.44,5.0,0.0,0.82,0.83,7.0,0.39,0.98,7.0,0.72,0.02,5.0,3.0,1.0,PROJ_0029,IT,Kanban,Mixed,Closure,Stable,Low,Familiar,High,Strong,Mixed,Low,Senior PM,Defined,High,Excellent,Mixed,Time & Materials,High,High,Regular,Formal,Basic,Fully Remote,Basic,Medium
12.0,1097471.56,20.0,9.06,10.0,1.0,3.0,0.78,0.12,0.87,0.0,6.7,2.0,0.12,0.73,0.32,8.51,0.74,0.64,4.0,0.82,0.0,2.0,3.0,1.0,PROJ_0030,R&D,Agile,Senior,Monitoring,Moderate,High,Expert,High,Moderate,Mixed,Low,Senior PM,Optimizing,High,Excellent,0,Cost-Plus,Low,High,First-time,Advanced,Advanced,Fully Remote,Basic,Low
20.0,1371669.22,15.0,3.68,14.0,3.0,1.0,4.4350000000000005,0.15,0.77,1.0,3.39,3.0,0.0,1.28,0.78,4.19,0.59,2.38,5.0,0.7,0.0,12.0,4.0,1.0,PROJ_0031,Construction,Waterfall,Mixed,Initiation,Moderate,Critical,Familiar,Poor,Strong,Internal,Low,Junior PM,Optimizing,High,Moderate,0,Time & Materials,Low,Stable,Strategic,Formal,Advanced,Hybrid,Excellent,Low
10.0,1013528.15,19.0,9.81,8.0,0.0,3.0,0.54,0.37,0.43,2.0,2.74,4.0,0.2,0.64,0.75,3.42,0.68,3.13,4.0,0.68,0.15,2.0,4.0,1.0,PROJ_0032,IT,Agile,Mixed,Execution,Volatile,Critical,Expert,Poor,Moderate,External,Low,Mid-level PM,Managed,High,Limited,Mixed,Time & Materials,High,Extreme,Occasional,Basic,0,Fully Colocated,Poor,Critical
14.0,908431.42,19.0,7.55,13.0,1.0,5.0,2.38,0.36,0.91,2.0,3.21,5.0,0.0,0.6,0.03,2.5,0.43,1.1,5.0,0.74,0.05,11.0,6.0,1.0,PROJ_0033,IT,Scrum,Senior,Execution,Volatile,Medium,Expert,Medium,Weak,External,Low,Senior PM,Optimizing,High,Moderate,Legacy/Unstable,Time & Materials,High,Moderate,Regular,Formal,Formal,Fully Colocated,Good,Critical
33.0,1759357.43,25.0,6.41,16.0,3.0,4.0,0.39,0.18,0.8,2.0,3.88,2.0,0.0,1.21,0.19,8.22,0.62,0.81,1.0,0.83,0.0,3.0,7.0,1.0,PROJ_0034,Construction,Waterfall,Senior,Closure,Stable,Medium,Expert,High,Strong,Internal,Low,Senior PM,Managed,Medium,Excellent,0,Time & Materials,High,Moderate,Occasional,Formal,Basic,Partially Colocated,Basic,Low
2.0,382508.91,9.0,3.35,8.0,0.0,1.0,2.32,0.44,0.49,1.0,1.72,1.0,0.0,0.92,0.61,4.15,0.38,0.5,5.0,0.94,0.0,12.0,3.0,1.0,PROJ_0035,Marketing,Kanban,Junior,Closure,Stable,Critical,New,High,Strong,External,Medium,Senior PM,Defined,Low,Good,0,Fixed-Price,Low,High,First-time,Formal,0,Fully Colocated,Basic,Medium
4.0,628705.64,9.0,4.43,5.0,0.0,2.0,1.08,0.23,0.92,0.0,3.08,2.0,0.19,0.95,0.66,8.4,0.57,0.43,2.0,0.93,0.0,1.0,1.0,1.0,PROJ_0036,Marketing,Agile,Junior,Monitoring,Volatile,Low,Familiar,Excellent,Weak,External,High,Senior PM,Ad-hoc,Medium,Moderate,0,Time & Materials,High,Stable,Regular,0,Formal,Hybrid,Good,High
26.0,2534703.15,27.0,10.0,19.0,3.0,4.0,1.15,0.14,0.87,1.0,1.31,3.0,0.0,1.13,0.9,6.87,0.52,2.56,1.0,0.85,0.0,7.0,12.0,1.0,PROJ_0037,R&D,Agile,Senior,Execution,Moderate,Medium,New,Poor,Strong,Government,Critical,Mid-level PM,Defined,High,Limited,0,Cost-Plus,High,High,Strategic,Basic,0,Partially Colocated,Excellent,High
10.0,979183.19,13.0,5.07,9.0,0.0,4.0,0.54,0.35,0.65,0.0,1.01,3.0,0.0,0.89,0.48,1.16,0.6,0.16,6.0,0.88,0.0,4.0,1.0,1.0,PROJ_0038,Marketing,Agile,Senior,Execution,Stable,Low,Familiar,Excellent,Strong,External,Medium,Junior PM,Ad-hoc,Medium,Poor,0,Time & Materials,High,Moderate,Strategic,0,Basic,Fully Remote,Basic,Medium
24.0,2223296.44,25.0,10.0,19.0,0.0,4.0,0.84,0.11,0.7,2.0,1.99,1.0,0.0,0.62,0.08,9.2,0.63,1.93,7.0,0.59,0.0,4.0,1.0,1.0,PROJ_0039,R&D,Scrum,Mixed,Planning,Moderate,Medium,New,Excellent,Moderate,Mixed,High,Junior PM,Managed,High,Good,0,Fixed-Price,Low,Extreme,Regular,Formal,0,Partially Colocated,Excellent,High
16.0,1674408.75,18.0,6.94,17.0,0.0,3.0,1.3,0.39,0.88,2.0,3.64,3.0,0.0,0.96,0.49,7.32,0.99,0.42,4.0,0.51,0.0,5.0,6.0,1.0,PROJ_0040,R&D,Scrum,Mixed,Monitoring,Stable,High,Familiar,Excellent,Strong,External,Low,Junior PM,Optimizing,High,Good,0,Time & Materials,High,Moderate,Strategic,Formal,Formal,Partially Colocated,Basic,Medium
17.0,989499.48,21.0,8.55,8.0,3.0,6.0,1.41,0.38,0.85,1.0,8.715,1.0,0.02,0.75,0.82,1.61,0.57,0.57,2.0,0.88,0.0,2.0,4.0,1.0,PROJ_0041,Manufacturing,Agile,Senior,Closure,Volatile,Low,Expert,Low,Moderate,Internal,High,Mid-level PM,Optimizing,Medium,Moderate,0,Fixed-Price,Low,Extreme,Regular,Advanced,Advanced,Fully Remote,Basic,Medium
6.0,701205.27,12.0,5.7,11.0,0.0,2.0,1.36,0.23,0.9,2.0,2.54,5.0,0.16,1.27,0.89,6.43,0.88,1.12,0.0,0.62,0.55,5.0,1.0,1.0,PROJ_0042,IT,Scrum,Junior,Planning,Stable,Low,Familiar,Medium,Moderate,External,Low,Junior PM,Ad-hoc,Medium,Limited,Modern/Stable,Fixed-Price,Medium,Moderate,Regular,Basic,Basic,Hybrid,Basic,Medium
35.0,1884061.27,32.0,8.8,16.0,1.0,5.0,0.49,0.11,0.51,1.0,2.07,1.0,0.0,1.26,0.09,7.79,0.64,1.91,5.0,0.82,0.0,9.0,4.0,1.0,PROJ_0043,Construction,Waterfall,Mixed,Execution,Volatile,Critical,New,Low,Moderate,Mixed,High,Mid-level PM,Defined,Medium,Limited,0,Fixed-Price,High,High,Occasional,Advanced,Formal,Fully Remote,Good,Critical
19.0,1012232.55,17.0,5.63,13.0,1.0,1.0,0.79,0.04,0.82,0.0,2.55,5.0,0.0,1.18,0.88,7.3,0.37,0.39,5.0,0.7,0.0,10.0,4.0,1.0,PROJ_0044,Healthcare,Hybrid,Senior,Initiation,Moderate,Critical,Expert,Excellent,Strong,Mixed,High,Mid-level PM,Ad-hoc,Strict,Poor,0,Time & Materials,High,Moderate,Strategic,Formal,0,Partially Colocated,Good,High
24.0,2139554.93,20.0,7.23,16.0,2.0,3.0,0.69,0.24,0.64,3.5,4.03,2.0,0.0,0.69,0.05,7.74,0.52,0.56,4.0,0.72,0.0,12.0,7.0,1.0,PROJ_0045,R&D,Agile,Mixed,Planning,Moderate,High,New,Excellent,Moderate,External,High,Junior PM,Ad-hoc,Low,Good,0,Time & Materials,Medium,High,Strategic,0,Basic,Fully Colocated,Good,Critical
6.0,664009.9,13.0,5.88,9.0,3.0,3.0,1.33,0.1,0.42,1.0,4.6,2.0,0.12,0.75,0.47,8.92,0.45,1.64,2.0,0.91,0.2,8.0,2.0,1.0,PROJ_0046,IT,Agile,Senior,Initiation,Moderate,Critical,Expert,High,Moderate,Government,Low,Senior PM,Ad-hoc,Strict,Limited,Modern/Stable,Time & Materials,Medium,High,Occasional,0,Basic,Hybrid,Good,Medium
9.0,913077.57,11.0,3.07,12.0,3.0,3.0,1.07,0.33,0.52,0.0,5.55,3.0,0.0,0.62,0.78,8.02,0.62,0.18,7.0,0.94,0.0,6.0,2.0,1.0,PROJ_0047,Manufacturing,Agile,Senior,Closure,Stable,High,Familiar,Poor,Strong,Government,Medium,Senior PM,Managed,Medium,Moderate,0,Fixed-Price,Low,Stable,Strategic,0,Basic,Fully Remote,Good,Medium
22.0,1665756.98,26.0,10.0,13.0,2.0,4.0,0.24,0.45,0.55,1.0,3.58,5.0,0.0,0.94,0.67,2.23,1.0,0.61,7.0,0.82,0.22,9.0,6.0,1.0,PROJ_0048,IT,Scrum,Mixed,Closure,Volatile,High,New,Poor,Strong,Government,Medium,Mid-level PM,Defined,High,Moderate,Mixed,Time & Materials,Medium,Extreme,Strategic,Basic,Formal,Hybrid,Basic,Medium
21.0,1001539.73,22.0,6.59,9.0,2.0,2.0,0.74,0.36,0.47,1.0,2.79,3.0,0.0,0.95,0.48,6.72,0.36,0.07,3.0,0.97,0.0,6.0,5.0,1.0,PROJ_0049,Construction,Waterfall,Mixed,Execution,Stable,Medium,Familiar,Excellent,Moderate,External,Medium,Mid-level PM,Managed,Medium,Poor,0,Hybrid,Medium,Extreme,First-time,Advanced,Formal,Partially Colocated,Excellent,Medium
30.0,1567605.84,30.0,8.25,11.0,1.0,3.0,0.69,0.76,0.75,0.0,5.31,3.0,0.0,0.96,0.05,3.61,0.95,1.74,5.0,0.82,0.0,10.0,3.0,1.0,PROJ_0050,Healthcare,Waterfall,Junior,Monitoring,Moderate,Critical,Familiar,Low,Moderate,External,High,Junior PM,Managed,Strict,Good,0,Fixed-Price,Medium,High,Strategic,Advanced,Formal,Fully Colocated,Good,High
8.0,389340.0,7.0,3.02,9.0,4.0,3.0,0.22,0.25,0.87,2.0,3.89,2.0,0.07,1.09,0.46,9.29,0.79,0.62,0.0,0.94,0.0,6.0,1.0,1.0,PROJ_0051,Marketing,Hybrid,Expert,Initiation,Moderate,High,Familiar,Poor,Strong,External,High,Certified PM,Optimizing,Medium,Limited,0,Time & Materials,Low,Moderate,Occasional,Advanced,Advanced,Partially Colocated,Basic,Low
9.0,745740.18,14.0,5.77,10.0,2.0,2.0,0.31,0.16,0.67,1.0,8.69,1.0,0.03,0.98,0.31,4.18,0.73,2.1,7.0,0.83,0.0,1.0,4.0,1.0,PROJ_0052,Marketing,Agile,Junior,Initiation,Moderate,Critical,Expert,Medium,Moderate,Internal,Low,Mid-level PM,Defined,Strict,Excellent,0,Hybrid,High,High,Occasional,Basic,Basic,Hybrid,Poor,Medium
10.0,837440.99,12.0,4.19,12.0,1.0,2.0,1.37,0.03,0.86,1.0,6.14,3.0,0.0,0.79,0.87,9.52,0.37,2.11,2.0,0.77,0.7,8.0,3.0,1.0,PROJ_0053,IT,Kanban,Expert,Monitoring,Stable,Low,Familiar,Low,Moderate,Internal,Medium,Mid-level PM,Managed,High,Limited,Mixed,Cost-Plus,High,Stable,Regular,Basic,Formal,Partially Colocated,Poor,Medium
12.0,1330371.62,16.0,7.27,14.0,5.0,5.0,0.56,0.2,0.41,1.0,4.22,3.0,0.12,0.97,0.37,9.29,0.71,1.88,4.0,0.78,0.0,12.0,7.0,1.0,PROJ_0054,R&D,Agile,Senior,Initiation,Moderate,Low,New,Excellent,Weak,Internal,Low,Senior PM,Optimizing,High,Limited,0,Hybrid,Medium,High,Occasional,Formal,Formal,Hybrid,Good,High
13.0,1251156.17,18.0,6.68,9.0,0.0,2.0,0.74,0.56,0.98,0.0,3.42,5.0,0.0,0.83,0.51,9.47,0.91,1.05,5.0,0.66,0.7000000000000001,3.0,4.0,1.0,PROJ_0055,IT,Scrum,Mixed,Monitoring,Volatile,High,Familiar,Excellent,Moderate,External,Low,Junior PM,Managed,Medium,Limited,Mixed,Cost-Plus,High,High,Regular,Formal,Formal,Fully Colocated,Basic,High
19.0,1156788.24,20.0,4.64,11.0,3.0,2.0,4.27,0.17,0.87,0.0,3.37,2.0,0.0,0.96,0.76,7.11,0.84,0.7,0.0,0.63,0.0,1.0,3.0,1.0,PROJ_0056,Construction,Waterfall,Senior,Planning,Stable,Critical,Expert,High,Weak,Government,High,Mid-level PM,Defined,Low,Good,0,Time & Materials,Medium,Moderate,First-time,0,Basic,Partially Colocated,Basic,Medium
17.0,1334670.15,17.0,7.92,9.0,1.0,4.0,2.69,0.34,0.39,1.0,2.16,3.0,0.14,1.25,0.83,8.58,0.56,1.19,7.0,0.73,0.0,12.0,5.0,1.0,PROJ_0057,Marketing,Agile,Mixed,Closure,Volatile,Medium,Familiar,High,Moderate,Mixed,High,Mid-level PM,Managed,High,Moderate,0,Hybrid,Medium,Extreme,Regular,Advanced,Basic,Fully Colocated,Poor,Critical
17.0,1773161.64,23.0,8.48,18.0,2.0,5.0,1.79,0.76,0.98,1.0,6.48,5.0,0.0,1.06,0.06,7.99,0.88,1.04,5.0,0.73,0.0,4.0,3.0,1.0,PROJ_0058,R&D,Agile,Mixed,Planning,Volatile,Medium,New,High,Strong,Mixed,Critical,Senior PM,Defined,Low,Excellent,0,Time & Materials,Medium,Extreme,Regular,Basic,Basic,Hybrid,Basic,High
14.0,1135779.98,13.0,4.58,10.0,0.0,4.0,1.15,0.38,0.64,0.0,6.57,2.0,0.0,0.99,0.86,6.28,0.71,2.65,4.0,0.76,0.7000000000000001,3.0,4.0,1.0,PROJ_0059,IT,Scrum,Mixed,Closure,Stable,High,Expert,Low,Moderate,External,Low,Junior PM,Ad-hoc,Strict,Poor,Mixed,Fixed-Price,Medium,Moderate,Strategic,Advanced,0,Partially Colocated,Good,Medium
